2019-05-01 14:30:03,491 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=2
2019-05-01 14:30:03,492 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=15
2019-05-01 14:30:03,492 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=14
2019-05-01 14:30:03,492 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=3
2019-05-01 14:30:03,493 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=26
2019-05-01 14:30:03,493 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=6
2019-05-01 14:30:03,493 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=12
2019-05-01 14:30:03,493 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=5
2019-05-01 14:30:03,494 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=15
2019-05-01 14:30:03,494 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=2
2019-05-01 14:30:03,494 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=9
2019-05-01 14:30:03,494 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=3
2019-05-01 14:30:03,495 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=54
2019-05-01 14:30:03,495 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=7
2019-05-01 14:30:03,496 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=2
2019-05-01 14:30:03,497 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=16
2019-05-01 14:30:03,497 [Thread-4] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2019-05-01 14:30:03,498 [Thread-4] INFO  marytts.PStream Global variance optimization
2019-05-01 14:30:03,499 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=1
2019-05-01 14:30:03,499 [Thread-4] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
